policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
gcnn:iql_retro_off,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,75,201,1.8,0.0,optimal,2.056949144694954,2.0562458299999946
gcnn:iql_retro_off,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,51,235,1.92,0.0,optimal,2.1755017535761,2.175274895000001
gcnn:iql_retro_off,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,53,171,1.75,0.0,optimal,2.0527952606789768,2.052434735999981
gcnn:iql_retro_off,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,55,202,1.91,0.0,optimal,2.2149777561426163,2.2146301390000076
gcnn:iql_tmdp+DFS_off,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,127,266,2.2,0.0,optimal,2.508231642190367,2.507226887999991
gcnn:iql_tmdp+DFS_off,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,145,292,2.0,0.0,optimal,2.3521777340210974,2.351196838000021
gcnn:iql_tmdp+DFS_off,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,115,193,1.97,0.0,optimal,2.21223847521469,2.2121229640000024
gcnn:iql_tmdp+DFS_off,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,249,390,2.39,0.0,optimal,2.8643745337612927,2.862959537000023
gcnn:iql_tmdp+DFS_off,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,143,293,2.15,0.0,optimal,2.558972884900868,2.55788446599999
gcnn:iql_tmdp+ObjLim_off,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,139,208,2.05,0.0,optimal,2.3851242321543396,2.3842128729999956
gcnn:iql_tmdp+ObjLim_off,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,191,293,2.07,0.0,optimal,2.439773565158248,2.4395813030000113
gcnn:iql_tmdp+ObjLim_off,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,189,307,2.26,0.0,optimal,2.6889911256730556,2.688940596000009
gcnn:iql_tmdp+ObjLim_off,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,123,234,2.0,0.0,optimal,2.4242846011184156,2.423341110999985
gcnn:iql_tmdp+ObjLim_off,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,137,256,2.15,0.0,optimal,2.4961458989419043,2.495190350999991
gcnn:iql_mdp_off,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,139,288,2.2,0.0,optimal,2.5493780793622136,2.5483988539999984
gcnn:iql_mdp_off,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,355,539,2.67,0.0,optimal,3.2557950178161263,3.2538322750000077
gcnn:iql_mdp_off,2,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,263,452,2.57,0.0,optimal,3.1672889292240143,3.1672388689999877
gcnn:iql_mdp_off,3,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,297,430,2.5,0.0,optimal,3.100809239782393,3.099220513000006
gcnn:iql_mdp_off,4,test,data/instances/setcover/test_400r_750c_0.05d/instance_2.lp,175,296,2.29,0.0,optimal,2.6657442143186927,2.6655828439999993
internal:relpscost,0,test,data/instances/setcover/test_400r_750c_0.05d/instance_3.lp,11,97,2.83,0.0,optimal,3.2004788080230355,3.1994056040000203
internal:relpscost,1,test,data/instances/setcover/test_400r_750c_0.05d/instance_3.lp,17,120,3.19,0.0,optimal,3.489073283970356,3.4878819429999908
